label,original,text,favorite_count,retweet_count,user.followers_count,user.friends_count,user.verified,user.created_at,created_at,txt_len,avg_wrd_length,url_cnt,puncutaion_cnt,tweet_age
1,"Michael Brown was suspected of robbing store in #Ferguson before being shot, say police http://t.co/KUZQGasFgA http://t.co/TjuEVB8z5m",michael brown suspect rob store shot say police,88,161,115083,1873,True,Thu Aug 27 16:09:18 +0000 2009,Fri Aug 15 16:00:49 +0000 2014,13,5.0,2,1,4.97
1,Police chief said officer who shot Brown didn't know about any robbery #ferguson,police chief say officer shot brown know robbery,47,202,3066,606,True,Thu Apr 09 02:33:23 +0000 2009,Fri Aug 15 19:12:26 +0000 2014,13,4.0,0,0,5.35
1,Report: #Ferguson police beat up wrong suspect then charged him for getting blood on uniforms in 2009 http://t.co/zmzd813Jzb,report police beat wrong suspect charge get blood uniform 2009,73,168,162748,521,True,Fri May 09 19:46:43 +0000 2008,Fri Aug 15 17:00:52 +0000 2014,16,5.0,1,0,6.27
1,So basically #Ferguson PD hijacked what was supposed to be a press conference about Darren Wilson to call Michael Brown a criminal #NMOS14,basically pd hijack suppose press conference darren wilson call michael brown criminal,159,446,3593,2590,False,Tue Jan 08 23:31:12 +0000 2008,Fri Aug 15 14:45:30 +0000 2014,21,5.0,0,0,6.6
1,Report: #Ferguson police beat up wrong suspect then charged him for getting blood on uniforms in 2009 http://t.co/Mck8FYYOpp,report police beat wrong suspect charge get blood uniform 2009,43,126,162744,521,True,Fri May 09 19:46:43 +0000 2008,Fri Aug 15 20:39:00 +0000 2014,16,5.0,1,0,6.27
1,I'd be more inclined to take the #Ferguson PD account seriously if they hadn't been so careful to confiscate all video evidence beforehand.,inclined take pd account seriously careful confiscate video evidence beforehand,68,162,4927,1949,False,Fri May 15 01:49:36 +0000 2009,Sun Aug 10 15:57:42 +0000 2014,24,4.0,0,1,5.24
1,"Possible ""robbery"" took place and BAM! Like magic it's as if another UNARMED black youth being murdered has been forgotten #smh #Ferguson",possible robbery take place bam like magic another unarmed black youth murder forgotten,60,129,29932,276,False,Fri Apr 19 04:09:05 +0000 2013,Fri Aug 15 15:48:35 +0000 2014,21,5.0,0,3,1.32
1,7) #MikeBrown was approached for mouthing off to a cop (both  #Ferguson PD &amp; eyewitness testimonies reflect this). NOT as a robbery suspect,7 approach mouth cop pd eyewitness testimony reflect robbery suspect,18,108,1624,988,False,Mon Feb 22 19:16:39 +0000 2010,Fri Aug 15 13:58:13 +0000 2014,20,5.0,0,1,4.48
1,"Store owner told @FOX2now Monday that there was a theft, but said it was not MichaelBrown; said it was someone else #Ferguson",store owner told monday theft say michaelbrown say someone else,33,115,3398,496,True,Tue Aug 02 20:32:17 +0000 2011,Fri Aug 15 21:18:58 +0000 2014,20,4.0,0,1,3.04
1,BREAKING: #Anonymous has obtained audio files of police dispatch and EMS during the #MikeBrown shooting. Will release ASAP. #Ferguson,break obtain audio file police dispatch em shoot release asap,160,192,66928,26404,False,Mon Jul 25 04:30:28 +0000 2011,Wed Aug 13 13:50:32 +0000 2014,16,5.0,0,2,3.05
1,The woman injured last night... #Ferguson  http://t.co/MaOSd1iarV,woman injured last night,82,303,107553,1041,True,Thu Mar 06 19:51:29 +0000 2008,Wed Aug 13 11:57:00 +0000 2014,5,5.0,1,3,6.44
1,#Ferguson cops beat innocent man then charged him for bleeding on them: http://t.co/u1ot9Eh5Cq via @MichaelDalynyc http://t.co/AGJW2Pid1r,cop beat innocent man charge bleeding via,375,925,1407,1765,False,Sat Oct 04 18:31:31 +0000 2008,Fri Aug 15 14:38:36 +0000 2014,12,4.0,2,0,5.86
1,It appears that #Ferguson PD are trying to assassinate Mike Brown's character after literally assassinating Mike Brown.,appear pd try assassinate mike brown character literally assassinate mike brown,52,230,488,525,False,Wed Jul 22 05:04:19 +0000 2009,Fri Aug 15 15:44:19 +0000 2014,17,5.0,0,1,5.07
1,"The surveillance photos, the police report, and this witness account. #Ferguson http://t.co/Sbx9tfA5FA http://t.co/JGgtaXYOxz",surveillance photo police report witness account,356,904,99734,1030,True,Thu Mar 06 19:51:29 +0000 2008,Fri Aug 15 14:47:54 +0000 2014,10,6.0,2,3,6.44
1,Witness: Police allegedly stopped Mike Brown after yelling at him to walk on sidewalk. #Ferguson http://t.co/XG00R6w0k6,witness police allegedly stop mike brown yell walk sidewalk,53,288,133554,127,True,Fri Mar 13 12:55:21 +0000 2009,Sun Aug 10 11:28:53 +0000 2014,14,5.0,1,1,5.41
1,#Ferguson police say Michael Brown fit description of strong-arm robbery suspect  http://t.co/bxXMNDzhe6,police say michael brown fit description strong arm robbery suspect,103,203,4148958,393,True,Sat Mar 17 19:01:26 +0000 2007,Fri Aug 15 14:12:25 +0000 2014,11,5.0,1,1,7.42
1,There was only one TV reporter at #Ferguson protests last night. Most left earlier fearing violence. Yet only violence was cop's bullets!,one tv reporter protest last night left earlier fear violence yet violence cop bullet,98,300,133402,125,True,Fri Mar 13 12:55:21 +0000 2009,Sun Aug 10 13:39:15 +0000 2014,22,5.0,0,3,5.41
1,So lets recap. No dashboard cam of the incident. But definitely photos of Michael Brown in a store. Funny how that happens #NMOS14 #Ferguson,let recap dashboard cam incident definitely photo michael brown store funny happens,63,107,3580,2589,False,Tue Jan 08 23:31:12 +0000 2008,Fri Aug 15 14:26:58 +0000 2014,22,4.0,0,3,6.6
